Postcode;PercentageTrees;PercentageBushes;PercentageGrass
1011;20,29;5,89;17,21
1012;16,31;4,38;13,89
1013;21,12;7,54;30,54
1014;29,92;10,18;41,75
1015;21,36;7,43;17,37
1016;23,65;6,78;16,67
1017;27,79;8,00;20,10
1018;26,20;7,93;25,62
1019;17,09;7,11;31,22
1021;19,60;7,80;28,25
1022;44,12;7,93;34,50
1023;33,11;11,20;39,20
1024;36,37;8,84;34,71
1025;33,07;9,00;35,78
1026;24,92;11,34;63,19
1027;31,92;9,29;63,06
1028;21,14;7,95;66,95
1031;21,59;7,26;34,17
1032;26,91;7,56;34,12
1033;24,79;7,80;35,05
1034;26,59;9,52;43,02
1035;27,75;10,84;42,46
1036;5,48;6,25;33,10
1037;17,10;9,31;35,62
1041;24,38;6,49;48,12
1042;23,70;7,23;40,29
1043;25,01;10,20;47,91
1044;25,48;8,57;46,34
1045;22,22;7,25;61,27
1046;27,11;12,84;57,51
1047;31,16;10,11;61,70
1051;21,54;8,54;27,00
1052;25,99;8,02;20,48
1053;20,64;8,08;20,20
1054;26,38;8,40;21,14
1055;25,00;8,64;29,08
1056;27,34;8,64;29,73
1057;31,23;8,64;29,90
1058;34,77;8,09;30,19
1059;27,78;8,56;30,18
1060;23,22;7,29;40,55
1061;20,99;7,57;31,62
1062;28,32;7,95;41,00
1063;28,05;8,44;36,30
1064;35,52;8,36;37,97
1065;31,20;8,17;36,19
1066;30,38;9,58;40,66
1067;29,13;9,10;53,30
1068;27,03;7,90;36,29
1069;23,96;7,28;35,78
1071;27,96;8,78;27,96
1072;25,39;7,84;19,94
1073;26,76;8,55;21,09
1074;22,76;8,54;20,25
1075;31,44;9,22;30,75
1076;24,79;8,06;31,41
1077;31,68;8,71;29,72
1078;21,59;8,39;25,33
1079;30,58;9,08;31,78
1081;34,92;10,14;34,91
1082;31,55;9,08;30,70
1083;39,38;9,44;33,56
1086;8,71;8,22;37,39
1087;19,06;11,27;49,80
1091;21,39;8,40;24,46
1092;31,94;8,50;30,07
1093;19,59;8,76;24,59
1094;17,50;7,73;22,30
1095;34,44;9,77;41,68
1096;29,18;10,17;45,16
1097;31,10;8,98;36,53
1098;26,47;9,33;40,81
1101;16,76;6,54;38,25
1102;26,50;8,22;44,28
1103;31,23;8,95;41,54
1104;27,53;7,55;42,07
1105;31,18;9,39;55,76
1106;29,55;10,55;38,67
1107;28,18;9,12;41,07
1108;41,12;10,62;44,28
1109;32,78;11,62;55,63
1111;31,96;13,24;46,91
1112;30,28;12,54;42,09
1113;19,82;7,89;35,15
1114;28,04;10,23;48,01
1115;28,08;10,37;36,14
1117;23,11;6,95;81,03
1118;17,16;7,01;72,28
1119;17,31;7,29;48,79
1121;25,69;9,49;56,10
1127;32,55;10,90;57,59
1131;22,88;5,70;39,84
1132;17,63;6,76;36,46
1135;27,36;8,06;45,35
1141;31,73;9,22;49,49
1145;21,65;7,16;62,03
1151;22,33;8,82;59,82
1153;20,11;8,72;64,84
1154;18,02;8,67;60,21
1156;22,16;8,28;56,82
1161;25,43;9,05;47,63
1165;43,80;11,30;53,69
1171;24,82;8,89;56,55
1175;20,29;7,63;63,50
1181;24,92;9,51;30,83
1182;58,61;8,51;30,17
1183;29,29;9,15;48,71
1184;27,92;8,63;50,25
1185;30,50;8,04;34,55
1186;29,05;8,79;44,66
1187;40,60;8,79;35,86
1188;25,76;8,11;52,96
1189;23,13;9,11;40,09
1191;24,70;8,90;53,37
1211;20,96;7,50;24,57
1212;27,49;8,19;33,18
1213;61,02;8,82;37,68
1214;18,31;9,31;31,43
1215;28,92;10,33;35,34
1216;33,28;8,83;41,15
1217;59,56;8,93;29,80
1218;46,50;9,99;49,25
1221;20,81;7,80;24,44
1222;45,90;9,78;59,08
1223;34,23;10,05;41,05
1231;32,05;12,80;48,12
1241;33,08;15,43;49,56
1243;56,16;7,64;34,48
1244;33,61;15,76;48,44
1251;50,57;9,68;47,38
1252;59,75;9,89;32,95
1261;45,55;9,88;48,01
1262;3,81;4,01;37,87
1271;24,39;10,05;40,76
1272;56,65;9,45;34,70
1273;23,56;11,26;34,16
1274;16,76;9,14;38,52
1275;27,50;10,87;35,28
1276;28,71;8,58;36,14
1277;11,56;8,85;45,82
1309;46,78;11,72;53,43
1311;24,22;9,14;45,44
1312;32,66;10,75;47,21
1313;21,17;9,07;49,23
1314;18,33;8,17;49,05
1315;18,58;6,04;30,40
1316;31,64;15,26;55,97
1317;24,02;8,90;43,30
1318;22,85;8,97;54,72
1319;32,43;13,09;57,26
1321;15,60;8,41;39,09
1322;40,82;9,24;49,57
1323;18,94;9,20;37,58
1324;28,77;8,42;46,82
1325;22,97;8,83;46,35
1326;20,65;8,88;41,28
1327;17,44;6,02;53,36
1328;13,16;7,34;47,17
1329;41,47;12,88;51,24
1331;31,40;11,63;61,92
1332;37,59;12,40;49,43
1333;25,04;8,24;49,07
1334;18,73;6,33;40,63
1335;31,36;10,47;41,92
1336;29,56;8,00;72,61
1338;29,66;9,63;47,85
1339;19,93;9,03;46,40
1341;39,52;9,77;56,75
1343;37,81;11,95;46,53
1349;40,69;9,95;59,87
1351;41,87;9,64;43,50
1352;28,03;8,39;44,96
1353;29,37;10,09;46,00
1354;23,83;7,43;34,27
1355;30,05;9,64;49,19
1356;30,70;9,43;43,67
1357;28,95;8,80;57,56
1358;43,49;10,32;52,20
1359;36,78;11,84;60,55
1361;36,68;8,11;51,93
1362;39,01;10,83;54,78
1363;34,56;8,94;47,11
1381;23,57;9,42;60,95
1382;25,81;8,18;42,59
1383;24,52;7,86;52,96
1384;21,40;9,72;54,36
1391;28,12;9,50;56,41
1393;28,94;8,63;51,07
1394;24,46;11,60;59,58
1396;27,39;8,53;57,25
1398;26,91;8,25;55,29
1399;40,04;10,67;50,62
1401;31,14;10,36;34,27
1402;23,38;10,20;32,42
1403;30,84;9,66;46,54
1404;24,97;9,20;26,07
1405;35,98;10,24;32,09
1406;48,86;9,74;44,90
1411;48,93;9,78;42,73
1412;35,48;16,31;48,17
1421;22,71;8,51;35,08
1422;26,94;8,86;37,98
1423;22,97;9,20;36,70
1424;21,31;8,27;49,08
1426;23,04;9,29;47,85
1427;20,73;7,86;47,16
1428;17,05;7,83;57,23
1431;25,07;9,93;43,98
1432;24,18;9,97;41,81
1433;17,32;8,33;43,39
1435;20,40;8,91;54,64
1436;23,21;7,64;50,72
1437;21,43;6,78;58,91
1438;17,58;6,49;52,59
1441;26,52;8,92;33,34
1442;26,88;7,93;37,98
1443;30,49;8,68;37,51
1444;37,90;8,76;35,15
1445;35,96;7,86;44,98
1446;29,54;8,91;53,62
1447;38,55;10,35;44,38
1448;21,13;8,94;41,23
1451;19,31;8,52;63,08
1452;24,61;7,81;57,72
1454;22,59;8,31;53,21
1456;30,67;7,13;58,13
1458;25,86;7,29;58,59
1461;34,38;7,97;52,03
1462;26,60;7,95;52,51
1463;28,08;6,04;54,73
1464;30,58;6,67;55,29
1471;27,44;7,27;57,61
1472;28,23;7,10;57,41
1473;22,92;7,26;56,22
1474;22,81;7,69;56,38
1475;27,70;8,01;63,19
1476;17,61;7,77;62,23
1477;21,57;7,40;51,69
1481;28,67;6,05;56,55
1482;32,52;6,75;57,10
1483;20,35;8,29;48,38
1484;20,21;8,06;58,50
1485;22,96;7,29;54,54
1486;20,37;9,00;56,36
1487;18,06;8,03;51,03
1488;32,22;7,99;62,45
1489;23,17;8,54;62,57
1501;19,30;7,47;26,44
1502;28,41;7,10;29,24
1503;31,60;8,33;38,10
1504;29,20;8,26;43,32
1505;33,51;8,96;36,83
1506;21,68;8,28;33,56
1507;17,12;8,34;42,38
1508;36,52;6,92;39,46
1509;28,88;11,06;54,87
1511;31,44;10,27;51,77
1521;25,57;6,09;45,44
1525;31,64;9,60;46,61
1531;19,07;7,44;55,94
1534;13,09;7,72;57,49
1536;24,48;8,91;53,66
1541;24,35;9,69;49,31
1544;20,60;8,45;44,32
1546;19,25;8,81;61,29
1551;20,53;8,57;59,67
1561;22,16;7,68;37,53
1562;23,17;8,33;47,37
1566;24,84;9,68;57,96
1567;5,17;5,56;45,38
1601;36,39;7,87;47,32
1602;24,92;6,98;41,18
1606;24,17;7,61;54,75
1607;26,44;6,58;53,56
1608;25,40;6,80;58,72
1609;27,12;11,99;54,46
1611;35,69;7,77;40,30
1613;26,56;9,19;40,77
1614;32,78;9,11;51,30
1616;24,08;7,77;45,44
1617;25,02;6,34;59,66
1619;31,47;8,65;49,14
1621;37,65;7,41;36,32
1622;33,84;8,17;38,69
1623;30,17;8,45;36,50
1624;31,10;7,94;36,74
1625;31,10;8,67;36,81
1627;27,88;5,12;33,19
1628;24,85;8,64;32,80
1631;30,78;7,36;56,55
1633;26,83;7,96;52,37
1634;37,95;10,12;48,99
1636;22,28;6,88;54,60
1641;19,77;7,79;56,89
1642;26,52;7,57;61,40
1643;20,52;7,88;69,37
1645;25,89;7,98;53,67
1646;26,84;9,06;53,89
1647;29,06;8,24;52,26
1648;19,53;6,99;42,04
1652;22,36;6,45;59,73
1654;28,38;7,43;58,43
1655;21,87;7,48;57,33
1657;28,99;7,89;53,26
1658;34,90;6,41;51,78
1661;22,35;7,11;61,19
1662;15,82;7,71;57,53
1663;21,03;6,98;58,71
1671;21,06;7,86;48,29
1674;22,13;8,15;58,29
1676;29,42;8,15;58,17
1678;30,98;8,16;55,28
1679;24,75;7,80;57,58
1681;23,84;6,31;46,93
1682;23,14;9,10;48,37
1683;21,82;5,87;54,39
1684;23,98;6,69;56,90
1685;21,64;6,85;58,15
1686;20,45;5,85;63,24
1687;23,76;7,85;54,30
1688;21,88;7,73;55,76
1689;25,49;7,49;41,69
1691;23,95;7,99;56,88
1692;36,80;9,42;58,36
1693;27,40;8,76;49,36
1695;26,44;9,74;43,82
1696;21,02;7,87;56,82
1697;24,96;8,68;58,79
1701;32,93;8,75;44,71
1702;31,59;9,19;41,17
1703;25,70;7,97;48,48
1704;21,84;7,20;54,18
1705;11,45;7,61;44,36
1706;34,77;5,72;46,36
1711;24,40;7,75;59,73
1713;25,24;7,76;52,49
1715;19,75;7,35;56,32
1716;22,35;7,83;48,28
1718;23,82;7,89;56,30
1719;31,79;8,13;57,79
1721;25,37;8,03;44,04
1722;25,36;8,90;42,96
1723;32,25;8,04;39,31
1724;24,98;9,40;56,14
1731;26,34;7,78;58,69
1732;24,79;7,76;58,26
1733;29,57;7,89;51,02
1734;30,15;8,18;56,02
1735;25,78;7,80;52,74
1736;26,74;8,56;54,49
1738;27,30;7,71;57,68
1741;23,07;8,35;48,15
1742;25,20;9,84;50,63
1744;24,43;9,44;57,83
1746;28,34;8,01;59,72
1747;20,16;8,85;49,88
1749;27,82;8,39;53,18
1751;32,35;9,37;54,09
1752;31,17;9,93;54,61
1753;31,65;12,57;52,92
1754;25,37;9,91;60,07
1755;28,26;14,37;65,30
1756;27,12;9,59;54,70
1757;35,47;8,50;57,48
1759;26,72;18,31;64,90
1761;26,28;8,88;55,39
1764;21,34;8,82;55,20
1766;28,78;7,50;56,22
1767;28,22;8,45;55,20
1768;23,50;8,11;59,45
1769;27,87;8,90;59,73
1771;53,66;7,83;40,83
1773;31,28;8,34;44,79
1774;44,08;7,35;47,45
1775;36,49;7,01;50,94
